index,year,month,day,big_endian_date,little_endian_date,us_date,title,authors,first_author,second_author,pseudonym_of
1,1931,10,12,1931-10-12,12/10/1931,10/12/1931,The Ten Commandments,Warwick Deeping,Warwick Deeping,,
2,1931,10,19,1931-10-19,19/10/1931,10/19/1931,No List Published,,,,
3,1931,10,26,1931-10-26,26/10/1931,10/26/1931,No List Published,,,,
4,1931,11,2,1931-11-2,2/11/1931,11/2/1931,No List Published,,,,
5,1931,11,9,1931-11-9,9/11/1931,11/9/1931,No List Published,,,,
6,1931,11,16,1931-11-16,16/11/1931,11/16/1931,Maid in Waiting,John Galsworthy,John Galsworthy,,
7,1931,11,23,1931-11-23,23/11/1931,11/23/1931,No List Published,,,,
8,1931,11,30,1931-11-30,30/11/1931,11/30/1931,Maid in Waiting,John Galsworthy,John Galsworthy,,
9,1931,12,7,1931-12-7,7/12/1931,12/7/1931,Maid in Waiting,John Galsworthy,John Galsworthy,,
10,1931,12,14,1931-12-14,14/12/1931,12/14/1931,Maid in Waiting,John Galsworthy,John Galsworthy,,
11,1931,12,21,1931-12-21,21/12/1931,12/21/1931,Maid in Waiting,John Galsworthy,John Galsworthy,,
12,1931,12,28,1931-12-28,28/12/1931,12/28/1931,Maid in Waiting,John Galsworthy,John Galsworthy,,
13,1932,1,4,1932-1-4,4/1/1932,1/4/1932,Maid in Waiting,John Galsworthy,John Galsworthy,,
14,1932,1,11,1932-1-11,11/1/1932,1/11/1932,The Harbourmaster,William McFee,William McFee,,
15,1932,1,18,1932-1-18,18/1/1932,1/18/1932,The Harbourmaster,William McFee,William McFee,,
16,1932,1,25,1932-1-25,25/1/1932,1/25/1932,Mr. and Mrs. Pennington,Francis Brett Young,Francis Brett Young,,
17,1932,2,1,1932-2-1,1/2/1932,2/1/1932,Mr. and Mrs. Pennington,Francis Brett Young,Francis Brett Young,,
18,1932,2,8,1932-2-8,8/2/1932,2/8/1932,The End of Desire,Robert Herrick,Robert Herrick,,
19,1932,2,15,1932-2-15,15/2/1932,2/15/1932,Mary's Neck,Booth Tarkington,Booth Tarkington,,
20,1932,2,22,1932-2-22,22/2/1932,2/22/1932,Mary's Neck,Booth Tarkington,Booth Tarkington,,
21,1932,2,1,1932-2-1,1/2/1932,2/1/1932,Mary's Neck,Booth Tarkington,Booth Tarkington,,
22,1932,3,7,1932-3-7,7/3/1932,3/7/1932,Mary's Neck,Booth Tarkington,Booth Tarkington,,
23,1932,3,14,1932-3-14,14/3/1932,3/14/1932,Mary's Neck,Booth Tarkington,Booth Tarkington,,
24,1932,3,21,1932-3-21,21/3/1932,3/21/1932,Mary's Neck,Booth Tarkington,Booth Tarkington,,
25,1932,3,28,1932-3-28,28/3/1932,3/28/1932,Mary's Neck,Booth Tarkington,Booth Tarkington,,
26,1932,4,4,1932-4-4,4/4/1932,4/4/1932,Magnolia Street,Louis Golding,Louis Golding,,
27,1932,4,11,1932-4-11,11/4/1932,4/11/1932,Magnolia Street,Louis Golding,Louis Golding,,
28,1932,4,18,1932-4-18,18/4/1932,4/18/1932,Magnolia Street,Louis Golding,Louis Golding,,
29,1932,4,25,1932-4-25,25/4/1932,4/25/1932,Magnolia Street,Louis Golding,Louis Golding,,
30,1932,5,2,1932-5-2,2/5/1932,5/2/1932,Bright Skin,Julia Peterkin,Julia Peterkin,,
31,1932,5,9,1932-5-9,9/5/1932,5/9/1932,A Modern Hero,Louis Bromfield,Louis Bromfield,,
32,1932,5,16,1932-5-16,16/5/1932,5/16/1932,The Good Earth,Pearl S. Buck,Pearl S. Buck,,
33,1932,5,23,1932-5-23,23/5/1932,5/23/1932,The Good Earth,Pearl S. Buck,Pearl S. Buck,,
34,1932,5,30,1932-5-30,30/5/1932,5/30/1932,The Good Earth,Pearl S. Buck,Pearl S. Buck,,
35,1932,6,6,1932-6-6,6/6/1932,6/6/1932,District Nurse,Faith Baldwin,Faith Baldwin,,
36,1932,6,13,1932-6-13,13/6/1932,6/13/1932,The Fountain,Charles Langbridge Morgan,Charles Langbridge Morgan,,
